RecordID,Shift_Manager_Code,Date,Year,Month,Hour,Session_colour,Weather_Outcast,Temperature_Celsius,Feeling_Temperature_Celsius,Humidity_Percent,Wind_Speed_kph,Season,Public_Holiday,Week_Day,Business_Day,Registered_Member_Count,Casual_User_Count,Rental_Bikes_Total
00133433,SM-02,1/1/2012,2012,Jan,13,green,Clear,11.7,12,58,19,Winter,Yes,Sunday,No,141,82.0,223
00146311,SM-13,1/1/2012,2012,Jan,14,,Clear,12.7,13,54,20,Winter,Yes,Sunday,No,147,120.0,267
00156051,SM-14,1/1/2012,2012,Jan,15,grey,Clear,13.6,14,51,20,Winter,Yes,Sunday,No,164,101.0,265
00167420,SM-13,1/1/2012,2012,Jan,16,white,Mist and Cloudy,12.7,13,54,20,Winter,Yes,Sunday,No,147,68.0,215
00172184,SM-07,1/1/2012,2012,Jan,17,white,Mist and Cloudy,14.6,15,48,11,Winter,Yes,Sunday,No,75,36.0,111
00185555,SM-07,1/1/2012,2012,Jan,18,white,Light Rain or Snow,13.6,14,59,17,Winter,Yes,Sunday,No,81,25.0,106
00194385,SM-14,1/1/2012,2012,Jan,19,blue,Light Rain or Snow,11.7,12,67,26,Winter,Yes,Sunday,No,85,20.0,105
00207396,SM-02,1/1/2012,2012,Jan,20,blue,Mist and Cloudy,12.7,13,62,20,Winter,Yes,Sunday,No,58,25.0,83
00219666,SM-01,1/1/2012,2012,Jan,21,yellow,Mist and Cloudy,12.7,13,67,17,Winter,Yes,Sunday,No,61,10.0,71
00223558,SM-11,1/1/2012,2012,Jan,22,blue,Clear,13.6,14,55,28,Winter,Yes,Sunday,No,53,13.0,66
00238849,SM-08,1/1/2012,2012,Jan,23,black,Clear,12.7,13,51,20,Winter,Yes,Sunday,No,25,4.0,29
00243047,SM-02,2/1/2012,2012,Jan,0,green,Clear,10.8,11,40,31,Winter,Yes,Monday,No,31,8.0,39
00253747,SM-11,2/1/2012,2012,Jan,1,grey,Clear,8.9,6,43,28,Winter,Yes,Monday,No,11,1.0,12
00261189,SM-02,2/1/2012,2012,Jan,2,blue,Clear,8.9,5,34,30,Winter,Yes,Monday,No,6,1.0,7
00273734,SM-03,2/1/2012,2012,Jan,4,white,Clear,5.2,1,45,22,Winter,Yes,Monday,No,4,0.0,4
00284005,SM-02,2/1/2012,2012,Jan,5,white,Clear,5.2,1,45,22,Winter,Yes,Monday,No,3,1.0,4
00295658,SM-14,2/1/2012,2012,Jan,6,blue,Clear,4.2,-1,41,26,Winter,Yes,Monday,No,14,0.0,14
00302899,SM-01,2/1/2012,2012,Jan,7,purple,Clear,3.3,-2,32,26,Winter,Yes,Monday,No,16,0.0,16
00318734,SM-04,2/1/2012,2012,Jan,8,blue,Clear,3.3,-1,35,17,Winter,Yes,Monday,No,51,2.0,53
00322267,SM-12,2/1/2012,2012,Jan,9,green,Clear,3.3,1,35,0,Winter,Yes,Monday,No,53,15.0,68
00332528,SM-04,2/1/2012,2012,Jan,10,grey,Clear,4.2,0,35,19,Winter,Yes,Monday,No,89,20.0,109
00344556,SM-01,2/1/2012,2012,Jan,11,black,Clear,4.2,-2,35,33,Winter,Yes,Monday,No,142,33.0,175
00354890,SM-14,2/1/2012,2012,Jan,12,purple,Clear,5.2,2,36,17,Winter,Yes,Monday,No,161,41.0,202
00369838,SM-08,2/1/2012,2012,Jan,13,purple,Clear,6.1,2,36,20,Winter,Yes,Monday,No,150,26.0,176
00376393,SM-10,2/1/2012,2012,Jan,14,red,Clear,6.1,2,36,28,Winter,Yes,Monday,No,141,10.0,151
00389792,SM-04,2/1/2012,2012,Jan,15,yellow,Clear,5.2,0,38,30,Winter,Yes,Monday,No,139,29.0,168
00399433,SM-07,2/1/2012,2012,Jan,16,yellow,Clear,4.2,-1,35,28,Winter,Yes,Monday,No,144,10.0,154
00408513,SM-03,2/1/2012,2012,Jan,17,yellow,Clear,4.2,-1,35,26,Winter,Yes,Monday,No,136,17.0,153
00413612,SM-09,2/1/2012,2012,Jan,18,purple,Clear,4.2,0,33,17,Winter,Yes,Monday,No,113,13.0,126
00428041,SM-09,2/1/2012,2012,Jan,19,green,Clear,3.3,-1,38,15,Winter,Yes,Monday,No,89,4.0,93
00437235,SM-03,2/1/2012,2012,Jan,20,green,Clear,3.3,-1,41,15,Winter,Yes,Monday,No,83,5.0,88
00446486,SM-06,2/1/2012,2012,Jan,21,red,Mist and Cloudy,3.3,-2,41,22,Winter,Yes,Monday,No,63,3.0,66
00458099,SM-01,2/1/2012,2012,Jan,22,green,Mist and Cloudy,2.3,-2,44,19,Winter,Yes,Monday,No,36,3.0,39
00461775,SM-04,2/1/2012,2012,Jan,23,red,Clear,2.3,-2,44,17,Winter,Yes,Monday,No,32,2.0,34
00479226,SM-06,3/1/2012,2012,Jan,0,red,Clear,1.4,-3,51,17,Winter,No,Tuesday,yes,13,0.0,13
00484152,SM-13,3/1/2012,2012,Jan,1,blue,Clear,0.5,-4,55,15,Winter,No,Tuesday,yes,5,1.0,6
00492585,SM-03,3/1/2012,2012,Jan,2,green,Clear,0.5,-5,51,17,Winter,No,Tuesday,yes,3,0.0,3
00504943,SM-14,3/1/2012,2012,Jan,3,,Clear,-0.5,-7,55,19,Winter,No,Tuesday,yes,2,0.0,2
00518555,SM-13,3/1/2012,2012,Jan,4,blue,Clear,-0.5,-6,55,17,Winter,No,Tuesday,yes,5,0.0,5
00524073,SM-02,3/1/2012,2012,Jan,5,black,Clear,-1.4,-7,54,13,Winter,No,Tuesday,yes,12,0.0,12
00532021,SM-01,3/1/2012,2012,Jan,6,blue,Clear,-1.4,-8,59,19,Winter,No,Tuesday,yes,81,4.0,85
00544843,SM-03,3/1/2012,2012,Jan,7,grey,Clear,-1.4,-8,59,17,Winter,No,Tuesday,yes,168,2.0,170
00558989,SM-01,3/1/2012,2012,Jan,8,grey,Clear,-0.5,-7,55,19,Winter,No,Tuesday,yes,349,5.0,354
00567873,SM-04,3/1/2012,2012,Jan,9,green,Clear,-0.5,-7,50,19,Winter,No,Tuesday,yes,145,8.0,153
00576675,SM-04,3/1/2012,2012,Jan,10,black,Clear,-0.5,-8,47,31,Winter,No,Tuesday,yes,55,5.0,60
00581161,SM-14,3/1/2012,2012,Jan,11,purple,Clear,0.5,-7,37,35,Winter,No,Tuesday,yes,63,12.0,75
00595297,SM-04,3/1/2012,2012,Jan,12,grey,Clear,0.5,-7,37,35,Winter,No,Tuesday,yes,70,4.0,74
00601995,SM-09,3/1/2012,2012,Jan,13,purple,Clear,0.5,-8,34,44,Winter,No,Tuesday,yes,68,5.0,73
00618629,SM-10,3/1/2012,2012,Jan,14,yellow,Clear,-0.5,-8,43,35,Winter,No,Tuesday,yes,72,7.0,79
00622016,SM-13,3/1/2012,2012,Jan,15,black,Clear,-0.5,-8,37,28,Winter,No,Tuesday,yes,68,9.0,77
00638869,SM-02,3/1/2012,2012,Jan,16,blue,Clear,-1.4,-10,39,39,Winter,No,Tuesday,yes,129,7.0,136
00647439,SM-14,3/1/2012,2012,Jan,17,green,Clear,-1.4,-9,26,31,Winter,No,Tuesday,yes,241,4.0,245
00658892,SM-02,3/1/2012,2012,Jan,18,red,Clear,-1.4,-10,26,35,Winter,No,Tuesday,yes,214,10.0,224
00667863,SM-01,3/1/2012,2012,Jan,19,black,Clear,-2.4,-10,28,28,Winter,No,Tuesday,yes,152,4.0,156
00678916,SM-05,3/1/2012,2012,Jan,20,red,Clear,-2.4,-8,33,17,Winter,No,Tuesday,yes,115,0.0,115
00689529,SM-04,3/1/2012,2012,Jan,21,purple,Clear,-3.3,-9,36,15,Winter,No,Tuesday,yes,66,2.0,68
00691878,SM-02,3/1/2012,2012,Jan,22,purple,Clear,-3.3,-9,46,17,Winter,No,Tuesday,yes,33,0.0,33
00705887,SM-11,3/1/2012,2012,Jan,23,purple,Clear,-3.3,-11,46,26,Winter,No,Tuesday,yes,18,0.0,18
00715859,SM-02,4/1/2012,2012,Jan,0,black,Clear,-4.2,-12,42,22,Winter,No,Wednesday,yes,9,0.0,9
00727331,SM-05,4/1/2012,2012,Jan,1,grey,Clear,-6.1,-14,38,20,Winter,No,Wednesday,yes,3,0.0,3
00739571,SM-04,4/1/2012,2012,Jan,2,black,Clear,-7.1,-15,34,19,Winter,No,Wednesday,yes,1,0.0,1
00749684,SM-09,4/1/2012,2012,Jan,3,blue,Clear,-7.1,-15,34,19,Winter,No,Wednesday,yes,1,0.0,1
00758208,SM-02,4/1/2012,2012,Jan,4,blue,Clear,-7.1,-13,41,13,Winter,No,Wednesday,yes,2,0.0,2
00766276,SM-13,4/1/2012,2012,Jan,5,grey,Clear,-7.1,-13,41,13,Winter,No,Wednesday,yes,14,0.0,14
00773062,SM-07,4/1/2012,2012,Jan,6,purple,Clear,-7.1,-13,41,11,Winter,No,Wednesday,yes,59,0.0,59
00781064,SM-02,4/1/2012,2012,Jan,7,black,Clear,-7.1,-13,44,13,Winter,No,Wednesday,yes,151,1.0,152
00799006,SM-01,4/1/2012,2012,Jan,8,green,Clear,-7.1,-12,44,9,Winter,No,Wednesday,yes,310,5.0,315
00803568,SM-11,4/1/2012,2012,Jan,9,yellow,Clear,-6.1,-12,45,9,Winter,No,Wednesday,yes,173,7.0,180
00816463,SM-13,4/1/2012,2012,Jan,10,black,Clear,-5.2,-9,45,0,Winter,No,Wednesday,yes,57,7.0,64
00823027,SM-05,4/1/2012,2012,Jan,11,red,Mist and Cloudy,-4.2,-8,42,6,Winter,No,Wednesday,yes,40,6.0,46
00833695,SM-10,4/1/2012,2012,Jan,12,black,Mist and Cloudy,-3.3,-9,46,13,Winter,No,Wednesday,yes,75,9.0,84
00846258,SM-05,4/1/2012,2012,Jan,13,black,Mist and Cloudy,-1.4,-8,43,17,Winter,No,Wednesday,yes,82,9.0,91
00856618,SM-04,4/1/2012,2012,Jan,14,blue,Mist and Cloudy,-1.4,-8,46,17,Winter,No,Wednesday,yes,69,6.0,75
00867736,SM-04,4/1/2012,2012,Jan,15,black,Mist and Cloudy,0.5,-6,37,22,Winter,No,Wednesday,yes,81,9.0,90
00871391,SM-08,4/1/2012,2012,Jan,16,white,Mist and Cloudy,0.5,-5,40,19,Winter,No,Wednesday,yes,123,8.0,131
00886892,SM-14,4/1/2012,2012,Jan,17,white,Mist and Cloudy,1.4,-3,40,13,Winter,No,Wednesday,yes,272,9.0,281
00894561,SM-06,4/1/2012,2012,Jan,18,blue,Mist and Cloudy,1.4,-2,37,9,Winter,No,Wednesday,yes,280,9.0,289
00907184,SM-01,4/1/2012,2012,Jan,19,purple,Mist and Cloudy,1.4,-1,40,7,Winter,No,Wednesday,yes,182,2.0,184
00914099,SM-02,4/1/2012,2012,Jan,20,blue,Mist and Cloudy,1.4,-3,40,13,Winter,No,Wednesday,yes,121,2.0,123
00927278,SM-01,4/1/2012,2012,Jan,21,red,Mist and Cloudy,1.4,1,44,0,Winter,No,Wednesday,yes,88,2.0,90
00939392,SM-08,4/1/2012,2012,Jan,22,white,Mist and Cloudy,1.4,-1,47,6,Winter,No,Wednesday,yes,48,4.0,52
00944104,SM-04,4/1/2012,2012,Jan,23,blue,Mist and Cloudy,1.4,-1,44,7,Winter,No,Wednesday,yes,32,0.0,32
00958215,SM-05,5/1/2012,2012,Jan,0,green,Mist and Cloudy,2.3,-1,47,13,Winter,No,Thursday,yes,13,1.0,14
00963454,SM-13,5/1/2012,2012,Jan,1,red,Clear,1.4,-1,51,6,Winter,No,Thursday,yes,5,0.0,5
00979996,SM-05,5/1/2012,2012,Jan,2,blue,Clear,1.4,-1,51,6,Winter,No,Thursday,yes,4,0.0,4
00983731,SM-11,5/1/2012,2012,Jan,3,red,Clear,1.4,1,61,0,Winter,No,Thursday,yes,4,0.0,4
00999154,SM-12,5/1/2012,2012,Jan,4,black,Mist and Cloudy,1.4,-1,59,6,Winter,No,Thursday,yes,5,0.0,5
01006056,SM-02,5/1/2012,2012,Jan,5,red,Mist and Cloudy,1.4,-1,59,6,Winter,No,Thursday,yes,26,0.0,26
01019110,SM-04,5/1/2012,2012,Jan,6,purple,Mist and Cloudy,1.4,-2,75,9,Winter,No,Thursday,yes,78,0.0,78
01024840,SM-14,5/1/2012,2012,Jan,7,white,Mist and Cloudy,1.4,-1,69,6,Winter,No,Thursday,yes,212,3.0,215
01032028,SM-09,5/1/2012,2012,Jan,8,grey,Mist and Cloudy,1.4,1,75,0,Winter,No,Thursday,yes,377,11.0,388
01048385,SM-02,5/1/2012,2012,Jan,9,red,Mist and Cloudy,2.3,2,69,0,Winter,No,Thursday,yes,220,7.0,227
01051502,SM-06,5/1/2012,2012,Jan,10,purple,Mist and Cloudy,3.3,1,52,6,Winter,No,Thursday,yes,81,5.0,86
01067910,SM-01,5/1/2012,2012,Jan,11,black,Clear,6.1,6,49,0,Winter,No,Thursday,yes,78,6.0,84
01077938,SM-07,5/1/2012,2012,Jan,12,green,Clear,6.1,3,49,17,Winter,No,Thursday,yes,114,6.0,120
01085488,SM-14,5/1/2012,2012,Jan,13,white,Clear,8.0,4,42,20,Winter,No,Thursday,yes,112,6.0,118
01091206,SM-05,5/1/2012,2012,Jan,14,grey,Clear,8.0,5,39,19,Winter,No,Thursday,yes,104,13.0,117
01106134,SM-05,5/1/2012,2012,Jan,15,grey,Clear,8.9,6,34,19,Winter,No,Thursday,yes,113,6.0,119
01116977,SM-13,5/1/2012,2012,Jan,16,green,Clear,8.9,6,34,19,Winter,No,Thursday,yes,178,19.0,197
01128721,SM-08,5/1/2012,2012,Jan,17,white,Mist and Cloudy,8.9,7,34,13,Winter,No,Thursday,yes,393,19.0,412
01138035,SM-02,5/1/2012,2012,Jan,18,grey,Clear,8.0,6,36,11,Winter,No,Thursday,yes,374,9.0,383
01142484,SM-13,5/1/2012,2012,Jan,19,grey,Clear,8.0,7,34,6,Winter,No,Thursday,yes,255,10.0,265
01158858,SM-12,5/1/2012,2012,Jan,20,black,Clear,6.1,6,49,0,Winter,No,Thursday,yes,172,5.0,177
01161863,SM-11,5/1/2012,2012,Jan,21,green,Clear,4.2,2,60,9,Winter,No,Thursday,yes,88,9.0,97
01173790,SM-08,5/1/2012,2012,Jan,22,blue,Clear,4.2,1,60,11,Winter,No,Thursday,yes,70,1.0,71
01188408,SM-01,5/1/2012,2012,Jan,23,black,Clear,3.3,1,70,7,Winter,No,Thursday,yes,56,4.0,60
01199755,SM-07,6/1/2012,2012,Jan,0,yellow,Clear,2.3,1,75,6,Winter,No,Friday,yes,24,1.0,25
01206116,SM-04,6/1/2012,2012,Jan,1,white,Clear,2.3,2,75,0,Winter,No,Friday,yes,6,2.0,8
01217019,SM-08,6/1/2012,2012,Jan,2,blue,Clear,2.3,-1,69,11,Winter,No,Friday,yes,3,2.0,5
01222757,SM-13,6/1/2012,2012,Jan,3,grey,Clear,2.3,0,69,7,Winter,No,Friday,yes,3,1.0,4
01238574,SM-04,6/1/2012,2012,Jan,4,black,Clear,2.3,-1,69,9,Winter,No,Friday,yes,3,0.0,3
01247374,SM-06,6/1/2012,2012,Jan,5,grey,Mist and Cloudy,1.4,-2,80,9,Winter,No,Friday,yes,13,0.0,13
01257892,SM-07,6/1/2012,2012,Jan,6,yellow,Mist and Cloudy,2.3,0,73,7,Winter,No,Friday,yes,69,1.0,70
01262678,SM-03,6/1/2012,2012,Jan,7,white,Mist and Cloudy,3.3,3,65,0,Winter,No,Friday,yes,201,4.0,205
01274242,SM-12,6/1/2012,2012,Jan,8,grey,Clear,3.3,0,70,9,Winter,No,Friday,yes,436,11.0,447
01285636,SM-09,6/1/2012,2012,Jan,9,blue,Clear,3.3,0,70,11,Winter,No,Friday,yes,237,4.0,241
01292059,SM-06,6/1/2012,2012,Jan,10,yellow,Clear,4.2,1,65,13,Winter,No,Friday,yes,102,14.0,116
01307668,SM-10,6/1/2012,2012,Jan,11,blue,Clear,6.1,4,56,11,Winter,No,Friday,yes,130,8.0,138
01314157,SM-06,6/1/2012,2012,Jan,12,red,Clear,8.9,6,50,17,Winter,No,Friday,yes,168,23.0,191
01326915,SM-13,6/1/2012,2012,Jan,13,black,Clear,10.8,11,43,19,Winter,No,Friday,yes,188,16.0,204
01333693,SM-08,6/1/2012,2012,Jan,14,yellow,Clear,13.6,14,36,13,Winter,No,Friday,yes,152,26.0,178
01344627,SM-01,6/1/2012,2012,Jan,15,purple,Clear,16.4,17,27,17,Winter,No,Friday,yes,178,44.0,222
01356450,SM-14,6/1/2012,2012,Jan,16,black,Clear,16.4,17,27,19,Winter,No,Friday,yes,259,35.0,294
01362663,SM-07,6/1/2012,2012,Jan,17,black,Clear,13.6,14,36,15,Winter,No,Friday,yes,456,20.0,476
01376592,SM-09,6/1/2012,2012,Jan,18,green,Clear,15.5,16,29,17,Winter,No,Friday,yes,391,28.0,419
01388392,SM-09,6/1/2012,2012,Jan,19,,Clear,13.6,14,33,19,Winter,No,Friday,yes,261,11.0,272
01392306,SM-04,6/1/2012,2012,Jan,20,yellow,Clear,11.7,12,41,13,Winter,No,Friday,yes,163,14.0,177
01407776,SM-01,6/1/2012,2012,Jan,21,purple,Clear,10.8,11,43,15,Winter,No,Friday,yes,137,17.0,154
01416864,SM-08,6/1/2012,2012,Jan,22,blue,Clear,8.9,7,50,13,Winter,No,Friday,yes,123,12.0,135
01428526,SM-14,6/1/2012,2012,Jan,23,white,Clear,8.9,9,50,0,Winter,No,Friday,yes,88,13.0,101
01439901,SM-11,7/1/2012,2012,Jan,0,grey,Clear,8.9,7,50,11,Winter,No,Saturday,No,77,2.0,79
01446575,SM-08,7/1/2012,2012,Jan,1,grey,Clear,9.9,10,46,11,Winter,No,Saturday,No,56,6.0,62
01456530,SM-11,7/1/2012,2012,Jan,2,yellow,Clear,8.9,8,50,7,Winter,No,Saturday,No,36,2.0,38
01465413,SM-11,7/1/2012,2012,Jan,3,yellow,Clear,7.0,6,57,7,Winter,No,Saturday,No,19,1.0,20
01474748,SM-06,7/1/2012,2012,Jan,4,white,Clear,7.0,6,57,6,Winter,No,Saturday,No,9,1.0,10
01481663,SM-04,7/1/2012,2012,Jan,5,black,Clear,4.2,2,75,7,Winter,No,Saturday,No,7,2.0,9
01492998,SM-13,7/1/2012,2012,Jan,6,black,Clear,4.2,2,75,7,Winter,No,Saturday,No,7,0.0,7
01508994,SM-01,7/1/2012,2012,Jan,7,white,Clear,2.3,-1,87,13,Winter,No,Saturday,No,20,0.0,20
01512495,SM-01,7/1/2012,2012,Jan,8,red,Clear,3.3,1,75,7,Winter,No,Saturday,No,64,5000.0,64
01524304,SM-03,7/1/2012,2012,Jan,9,blue,Clear,2.3,-1,80,9,Winter,No,Saturday,No,116,14.0,130
01534763,SM-14,7/1/2012,2012,Jan,10,green,Clear,5.2,4,75,6,Winter,No,Saturday,No,160,43.0,203
01546232,SM-02,7/1/2012,2012,Jan,11,red,Clear,8.0,5,57,15,Winter,No,Saturday,No,250,74.0,324
01552853,SM-01,7/1/2012,2012,Jan,12,grey,Clear,10.8,11,43,15,Winter,No,Saturday,No,276,100.0,376
01567585,SM-14,7/1/2012,2012,Jan,13,red,Clear,12.7,13,44,13,Winter,No,Saturday,No,296,149.0,445
01572291,SM-13,7/1/2012,2012,Jan,14,,Clear,15.5,16,42,19,Winter,No,Saturday,No,356,156.0,512
01584581,SM-02,7/1/2012,2012,Jan,15,white,Clear,19.3,20,37,20,Winter,No,Saturday,No,317,132.0,449
01598554,SM-09,7/1/2012,2012,Jan,16,purple,Mist and Cloudy,18.3,19,37,19,Winter,No,Saturday,No,268,133.0,401
01608280,SM-08,7/1/2012,2012,Jan,17,yellow,Mist and Cloudy,17.4,18,43,9,Winter,No,Saturday,No,235,87.0,322
01612636,SM-09,7/1/2012,2012,Jan,18,white,Clear,17.4,18,45,9,Winter,No,Saturday,No,248,49.0,297
01624696,SM-06,7/1/2012,2012,Jan,19,black,Clear,16.4,17,42,7,Winter,No,Saturday,No,171,44.0,215
01631698,SM-05,7/1/2012,2012,Jan,20,black,Clear,15.5,16,39,17,Winter,No,Saturday,No,149,21.0,170
01645737,SM-12,7/1/2012,2012,Jan,21,black,Clear,12.7,13,44,15,Winter,No,Saturday,No,118,22.0,140
01651854,SM-10,7/1/2012,2012,Jan,22,white,Clear,12.7,13,38,17,Winter,No,Saturday,No,93,16.0,109
01669164,SM-03,7/1/2012,2012,Jan,23,grey,Clear,11.7,12,38,15,Winter,No,Saturday,No,103,16.0,119
01676855,SM-10,8/1/2012,2012,Jan,0,purple,Clear,9.9,10,40,19,Winter,No,Sunday,No,77,14.0,91
01688392,SM-06,8/1/2012,2012,Jan,1,blue,Clear,8.0,6,42,13,Winter,No,Sunday,No,62,10.0,72
01697528,SM-11,8/1/2012,2012,Jan,2,grey,Clear,8.9,6,37,19,Winter,No,Sunday,No,57,10.0,67
01706249,SM-06,8/1/2012,2012,Jan,3,purple,Clear,8.0,6,42,9,Winter,No,Sunday,No,26,6.0,32
01716172,SM-04,8/1/2012,2012,Jan,4,red,Clear,7.0,4,49,17,Winter,No,Sunday,No,4,2.0,6
01722707,SM-11,8/1/2012,2012,Jan,5,red,Mist and Cloudy,7.0,6,49,7,Winter,No,Sunday,No,2,0.0,2
01736791,SM-10,8/1/2012,2012,Jan,6,purple,Mist and Cloudy,6.1,6,52,0,Winter,No,Sunday,No,2,0.0,2
01746535,SM-12,8/1/2012,2012,Jan,7,red,Mist and Cloudy,6.1,6,52,0,Winter,No,Sunday,No,23,,24
01755931,SM-07,8/1/2012,2012,Jan,8,green,Clear,6.1,4,52,9,Winter,No,Sunday,No,53,4.0,57
01764510,SM-08,8/1/2012,2012,Jan,9,blue,Clear,7.0,6,53,9,Winter,No,Sunday,No,102,23.0,125
01771202,SM-09,8/1/2012,2012,Jan,10,yellow,Clear,8.0,6,49,11,Winter,No,Sunday,No,181,27.0,208
01785218,SM-07,8/1/2012,2012,Jan,11,grey,Clear,8.9,7,46,15,Winter,No,Sunday,No,201,55.0,256
01799958,SM-02,8/1/2012,2012,Jan,12,green,Clear,9.9,10,43,15,Winter,No,Sunday,No,273,78.0,351
01805389,SM-09,8/1/2012,2012,Jan,13,red,Clear,10.8,11,37,20,Winter,No,Sunday,No,266,77.0,343
01813327,SM-01,8/1/2012,2012,Jan,14,red,Clear,10.8,11,40,13,Winter,No,Sunday,No,253,75.0,328
01829004,SM-05,8/1/2012,2012,Jan,15,red,Clear,10.8,11,37,19,Winter,No,Sunday,No,241,89.0,330
01833931,SM-12,8/1/2012,2012,Jan,16,purple,Clear,10.8,11,37,20,Winter,No,Sunday,No,256,58.0,314
01848777,SM-12,8/1/2012,2012,Jan,17,blue,Clear,9.9,10,40,15,Winter,No,Sunday,No,197,22.0,219
01851197,SM-10,8/1/2012,2012,Jan,18,purple,Clear,8.0,5,46,15,Winter,No,Sunday,No,162,19.0,181
01868125,SM-01,8/1/2012,2012,Jan,19,green,Clear,7.0,5,49,13,Winter,No,Sunday,No,104,8.0,112
01872930,SM-06,8/1/2012,2012,Jan,20,black,Clear,6.1,4,52,11,Winter,No,Sunday,No,119,7.0,126
01887287,SM-10,8/1/2012,2012,Jan,21,yellow,Clear,5.2,2,56,15,Winter,No,Sunday,No,81,10.0,91
01899800,SM-05,8/1/2012,2012,Jan,22,black,Clear,4.2,2,60,7,Winter,No,Sunday,No,54,4.0,58
01905282,SM-10,8/1/2012,2012,Jan,23,blue,Clear,4.2,0,56,17,Winter,No,Sunday,No,30,0.0,30
01913511,SM-02,9/1/2012,2012,Jan,0,green,Clear,3.3,-1,60,15,Winter,No,Monday,yes,12,3.0,15
01921659,SM-14,9/1/2012,2012,Jan,1,green,Clear,3.3,0,60,9,Winter,No,Monday,yes,4,1.0,5
01933811,SM-14,9/1/2012,2012,Jan,2,red,Clear,3.3,0,56,9,Winter,No,Monday,yes,3,2.0,5
01948098,SM-06,9/1/2012,2012,Jan,3,black,Clear,3.3,0,52,11,Winter,No,Monday,yes,3,0.0,3
01957546,SM-11,9/1/2012,2012,Jan,4,white,Clear,2.3,0,64,7,Winter,No,Monday,yes,4,0.0,4
01962986,SM-08,9/1/2012,2012,Jan,5,white,Mist and Cloudy,1.4,-1,64,6,Winter,No,Monday,yes,21,0.0,21
01979338,SM-04,9/1/2012,2012,Jan,6,grey,Mist and Cloudy,2.3,-1,60,9,Winter,No,Monday,yes,85,3.0,88
01983911,SM-10,9/1/2012,2012,Jan,7,purple,Mist and Cloudy,2.3,0,60,7,Winter,No,Monday,yes,239,1.0,240
01992734,SM-03,9/1/2012,2012,Jan,8,green,Mist and Cloudy,2.3,1,55,6,Winter,No,Monday,yes,407,13.0,420
02002843,SM-05,9/1/2012,2012,Jan,9,grey,Mist and Cloudy,2.3,2,64,0,Winter,No,Monday,yes,188,9.0,197
02019680,SM-06,9/1/2012,2012,Jan,10,grey,Clear,3.3,3,60,0,Winter,No,Monday,yes,95,13.0,108
02023976,SM-01,9/1/2012,2012,Jan,11,,Mist and Cloudy,4.2,3,56,6,Winter,No,Monday,yes,82,6.0,88
02032959,SM-08,9/1/2012,2012,Jan,12,yellow,Mist and Cloudy,4.2,2,56,7,Winter,No,Monday,yes,93,10.0,103
02046759,SM-10,9/1/2012,2012,Jan,13,white,Mist and Cloudy,4.2,2,56,7,Winter,No,Monday,yes,77,3.0,80
02057694,SM-12,9/1/2012,2012,Jan,14,red,Light Rain or Snow,2.3,-1,75,11,Winter,No,Monday,yes,45,5.0,50
02063385,SM-01,9/1/2012,2012,Jan,15,purple,Light Rain or Snow,2.3,-1,75,11,Winter,No,Monday,yes,64,5.0,69
02075736,SM-06,9/1/2012,2012,Jan,16,black,Light Rain or Snow,2.3,1,87,6,Winter,No,Monday,yes,46,3.0,49
02082802,SM-12,9/1/2012,2012,Jan,17,blue,Light Rain or Snow,2.3,2,87,0,Winter,No,Monday,yes,147,5.0,152
