Segment_ID,Road_Segment_Name,Road_Type,Intersection,Speed_Sign,Traffic_Light,Liquor_Licenses,Supermarket,Primary_School,Secondary_School,Commercial_Area,Industrial_Area,Residential_Area,Parkland_Area,Primary_Production_Area,Dwelling_Sep_House,Dwelling_Semid_Tce,Dwelling_Flat_Unit_Apart,SEIFA,Age_Less_Than_15yrs,Age_15_24yrs,Age_25_44yrs,Age_45_64yrs,Age_65yrs_Over,Couple_No_Children,Couple_With_Children,Single_Parent,No_Car,Cars_One,Cars_Two_Over,Zone_Type
15326,BACK BEACH ROAD,ROAD,non-Intersection,1,0,0,0,0,0,0,0,0,0,1,0.97,0,,1010,0.21,0.103,0.155,0.352,0.179,0.481,0.443,0.139,0.042,0.156,0.719,Standard Zone
18942,SOUTH FACE ROAD,ROAD,non-Intersection,0,0,0,0,0,0,,,0,0.743,0,1,0,0,0,,,,,1,0,0,0,0,0.667,0.333,Standard Zone
12536,LILLICO ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1044,0.218,0.143,0.266,0.26,0.112,0.41,0.469,0.111,0,0.202,0.78,Standard Zone
9246,REIDYS ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1025,0.175,0.099,0.222,0.326,0.178,0.441,0.514,0.099,0,0.143,0.827,Standard Zone
8742,OLD BOILER ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0.014,0.515,0.471,0.923,,,1045,0.147,0.118,0.206,0.412,0.118,0.444,0.519,0,0.073,0.293,0.634,Standard Zone
4606,GEELONG ROAD,ROAD,Intersection,0,0,3,0,0,0,0,0,0.743,0.257,0,0.663,0.234,0.103,1054,0.128,0.07,0.252,0.273,0.277,0.588,0.324,0.088,0.079,0.424,0.48,Red Zone
19746,GREENDALE-TRENTHAM ROAD,ROAD,non-Intersection,1,0,0,0,0,0,,,0.047,0.497,0,1,0,0,1042,0.145,0.131,0.209,0.348,0.167,0.457,0.424,0.054,0,0.122,0.852,Standard Zone
12576,PARKINS ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1035,0.203,0.072,0.176,0.341,0.207,0.524,0.405,0.048,0,0.156,0.817,Standard Zone
10874,LINTON-PIGGOREET ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,1,0,0,897,0.167,0.106,0.191,0.304,0.232,0.383,0.374,0.178,0.028,0.27,0.652,Standard Zone
4462,FISCHER STREET,STREET,Intersection,0,0,8,1,0,0,0.344,0,0.492,0.164,0,0.467,0.454,0.079,1011,0.151,0.097,0.29,0.29,0.172,0.51,0.286,0.153,0.07,0.43,0.475,Red Zone
1666,SKYLARK WAY,WAY,non-Intersection,0,0,0,0,0,0,,,,,0.254,0.97,0,,1018,0.195,0.067,0.246,0.354,0.138,0.484,0.396,0.132,0,0.162,0.762,Standard Zone
12058,OLD SALE ROAD,ROAD,non-Intersection,1,0,0,0,0,0,,,,,0.295,1,0,0,1000,0.092,0.172,0.178,0.319,0.239,0.348,0.522,0.065,0,0.173,0.827,Standard Zone
15238,LILLEYS ROAD,ROAD,Intersection,0,0,0,0,0,1,,0,0.733,0,0,0.851,0.04,0.11,935,0.203,0.152,0.253,0.231,0.161,0.355,0.374,0.277,0.028,0.385,0.551,Red Zone
8170,GRAHAM STREET,STREET,Intersection,0,0,2,1,0,0,0.312,0,0.655,0.026,0,1,0,0,831,0.116,0.108,0.145,0.262,0.369,0.488,0.207,0.268,0.167,0.54,0.267,Red Zone
12426,PRINCES WAY,WAY,non-Intersection,1,0,0,0,0,0,0,0,1,0,0,0.619,0.302,0.056,880,0.143,0.096,0.208,0.304,0.249,0.4,0.385,0.231,0.075,0.492,0.375,Red Zone
5150,BASS HIGHWAY,HIGHWAY,non-Intersection,1,0,0,0,0,0,0,0,0.869,0.131,0,0.923,0.048,0,912,0.157,0.103,0.188,0.399,0.153,0.4,0.457,0.186,0.047,0.311,0.613,Standard Zone
11914,OLD WALHALLA ROAD,ROAD,non-Intersection,0,0,1,0,0,0,0,0,0,0.996,0,0.969,0,,938,0.145,0.072,0.163,0.404,0.217,0.5,0.372,0.077,0.067,0.215,0.696,Standard Zone
7858,BENT STREET,STREET,non-Intersection,0,0,0,0,1,0,,0,0.779,0,0,0.97,0,,892,0.229,0.124,0.295,0.248,0.105,0.349,0.389,0.238,0.015,0.393,0.526,Standard Zone
18262,POSSUM GULLY ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0.873,0.127,1,0,0,927,0.153,0.08,0.185,0.333,0.249,0.493,0.29,0.174,0.036,0.182,0.7,Standard Zone
11222,MURPHY ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,1,0,0,993,0.138,0.106,0.131,0.374,0.251,0.49,0.353,0.186,0,0.253,0.727,Standard Zone
9358,OLD MELBOURNE ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0.274,0,0.726,1,0,0,1024,0.184,0.077,0.217,0.355,0.169,0.493,0.368,0.132,0,0.219,0.755,Standard Zone
18462,INCOLLS ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0.437,0.563,1,0,0,1001,0.185,0.102,0.195,0.348,0.169,0.505,0.361,0.103,0,0.178,0.785,Standard Zone
5806,CHAPEL STREET,STREET,Intersection,0,0,10,1,0,0,0.26,0,0.74,0,0,0.595,0.147,0.237,939,0.127,0.074,0.158,0.293,0.349,0.648,0.133,0.229,0.095,0.542,0.335,Red Zone
10898,COLAC-BALLARAT ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0.425,0,0.575,1,0,0,1001,0.185,0.102,0.195,0.348,0.169,0.505,0.361,0.103,0,0.178,0.785,Standard Zone
19998,MILES ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,0.976,0,,1039,0.196,0.083,0.142,0.342,0.238,0.556,0.365,0.056,0,0.128,0.829,Standard Zone
17130,PENTLAND HILLS ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,0.965,0.035,0,1017,0.121,0.148,0.189,0.351,0.192,0.423,0.505,0.052,0,0.118,0.853,Standard Zone
3810,ONDIT ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,0.978,0,,1044,0.206,0.108,0.214,0.289,0.183,0.519,0.414,0.115,0,0.174,0.826,Standard Zone
5180,BETLEIGH STREET,STREET,non-Intersection,0,0,0,0,0,0,0,0,1,0,0,0.906,0.066,0,1038,0.183,0.07,0.183,0.315,0.249,0.483,0.384,0.119,0.057,0.368,0.536,Standard Zone
758,WARBURTON-WOODS POINT ROAD,ROAD,non-Intersection,1,0,0,0,0,0,0,0,0,1,0,1,0,0,887,0.152,0.088,0.199,0.386,0.175,0.413,0.304,0.174,0.053,0.342,0.566,Standard Zone
19942,WAVE STREET,STREET,non-Intersection,0,0,0,0,0,0,0,0,1,0,0,0.952,0.027,0,986,0.157,0.07,0.245,0.295,0.233,0.558,0.368,0.126,0.035,0.375,0.569,Standard Zone
5932,ELLEN ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0.981,0.02,0,1,0,0,1050,0.106,0.058,0.111,0.314,0.411,0.678,0.271,0.068,0.037,0.305,0.659,Standard Zone
8912,MULGREW ROAD,ROAD,non-Intersection,0,0,0,0,0,0,,,0,0.036,0,1,0,0,971,0.178,0.05,0.168,0.416,0.188,0.45,0.4,0.15,0.035,0.186,0.663,Standard Zone
560,WATTLE GULLY DRIVE,DRIVE,non-Intersection,0,0,0,0,0,0,0,0,0.292,0,0.708,1,0,0,1053,0.221,0.13,0.212,0.274,0.162,0.411,0.505,0.063,0,0.13,0.833,Standard Zone
13636,DARNUM-SHADY CREEK ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0.583,0,0.417,1,0,0,979,0.249,0.127,0.239,0.273,0.112,0.29,0.57,0.14,0.022,0.202,0.709,Standard Zone
14686,COWIE STREET,STREET,Intersection,0,0,2,0,0,0,0.154,0,0.745,0.102,0,0.98,0,0.02,1007,0.212,0.094,0.247,0.208,0.239,0.43,0.422,0.132,0.025,0.263,0.663,Standard Zone
11528,FRASER SPUR ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0.116,0.884,1,0,0,1047,0.199,0.089,0.181,0.376,0.155,0.5,0.288,0.061,0,0.232,0.768,Standard Zone
11738,MCCATHIE ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1047,0.199,0.089,0.181,0.376,0.155,0.5,0.288,0.061,0,0.232,0.768,Standard Zone
17484,PRINCES WAY,WAY,non-Intersection,0,0,1,0,0,0,0,0,0.514,0.486,0,1,0,0,1016,0.171,0.103,0.165,0.349,0.213,0.48,0.474,0.046,0,0.138,0.843,Standard Zone
13346,GIBSON BROTHERS ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1020,0.227,0.128,0.197,0.339,0.108,0.346,0.573,0.046,0,0.177,0.782,Standard Zone
17676,TARRAFORD WAY,WAY,non-Intersection,0,0,0,0,0,0,0,0,0.998,0,0.002,1,0,0,1107,0.248,0.167,0.155,0.353,0.078,0.212,0.712,0.076,0,0.065,0.885,Standard Zone
5078,BAMBRA-AIREYS INLET ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0.439,0.561,1,0,0,1052,0.205,0.114,0.198,0.295,0.188,0.482,0.447,0.094,0,0.103,0.869,Standard Zone
7662,WILLIAM STREET,STREET,non-Intersection,0,0,1,0,0,0,0,0,0.817,0.183,0,0.746,0.059,0.123,1037,0.122,0.059,0.229,0.27,0.321,0.576,0.303,0.076,0.069,0.429,0.461,Standard Zone
15110,MATTHEWS ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1004,0.187,0.081,0.187,0.349,0.196,0.483,0.466,0.155,0.047,0.141,0.812,Standard Zone
15800,DARNUM-SHADY CREEK ROAD,ROAD,non-Intersection,0,0,0,0,1,0,,0,0.529,0,0.35,1,0,0,1022,0.223,0.138,0.194,0.264,0.182,0.389,0.489,0.122,0,0.167,0.804,Standard Zone
8616,HOPETOUN STREET,STREET,non-Intersection,0,0,0,0,0,0,0,0,0.926,0,0,0.686,0.264,0.025,1030,0.118,0.045,0.169,0.269,0.399,0.68,0.282,0.128,0.1,0.412,0.471,Standard Zone
10264,BROWNS-SCARSDALE ROAD,ROAD,non-Intersection,0,0,0,0,0,0,,,0.423,0,0,1,0,0,929,0.273,0.091,0.248,0.301,0.088,0.333,0.411,0.244,0,0.257,0.716,Standard Zone
520,LONG GULLY ROAD,ROAD,non-Intersection,0,0,0,0,0,0,,,0,0.473,0,1,0,0,1010,0.158,0.128,0.22,0.337,0.158,0.421,0.421,0.197,0.031,0.225,0.745,Standard Zone
15510,RYANS ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1032,0.216,0.142,0.313,0.201,0.129,0.402,0.519,0.126,0.012,0.225,0.721,Standard Zone
6138,MCKENZIE ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,1,0,0,0.959,0.025,0,959,0.218,0.081,0.257,0.238,0.206,0.467,0.333,0.179,0.019,0.388,0.538,Standard Zone
3190,BANNOCKBURN-SHELFORD ROAD,ROAD,non-Intersection,1,0,0,0,0,0,0,0,0,0.932,0.068,1,0,0,1049,0.201,0.108,0.204,0.341,0.146,0.432,0.484,0.053,0,0.115,0.885,Standard Zone
9440,YANKEE FLAT ROAD,ROAD,non-Intersection,0,0,0,0,0,0,,,,,0.503,1,0,0,1036,0.191,0.112,0.143,0.387,0.167,0.521,0.493,0.056,0,0.075,0.888,Standard Zone
10322,JACKS ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,1,0,0,927,0.153,0.08,0.185,0.333,0.249,0.493,0.29,0.174,0.036,0.182,0.7,Standard Zone
9036,CLARKES HILL ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1006,0.155,0.173,0.129,0.31,0.233,0.469,0.354,0.125,0,0.203,0.772,Standard Zone
10536,CLYDE STREET,STREET,non-Intersection,0,0,1,0,0,0,0,0,1,0,0,1,0,0,891,0.142,0.09,0.209,0.328,0.23,0.483,0.254,0.149,0.036,0.308,0.604,Standard Zone
3528,VOLUM ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1087,0.206,0.112,0.197,0.294,0.191,0.379,0.516,0.063,0,0.091,0.849,Standard Zone
16794,DINGLEY DELL ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,0.983,0,,972,0.196,0.126,0.217,0.285,0.177,0.497,0.39,0.142,0.041,0.194,0.729,Standard Zone
444,OLD GOLDEN POINT ROAD,ROAD,non-Intersection,0,0,0,0,0,1,0,0,0.991,0.009,0,1,0,0,998,0.168,0.063,0.286,0.322,0.161,0.455,0.364,0.227,0.055,0.373,0.546,Standard Zone
13824,HAZELWOOD STREET,STREET,non-Intersection,0,0,0,0,0,0,0,0,0.681,0.182,0.137,1,0,0,1020,0.227,0.128,0.197,0.339,0.108,0.346,0.573,0.046,0,0.177,0.782,Standard Zone
9070,LONGS HILL ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1025,0.175,0.099,0.222,0.326,0.178,0.441,0.514,0.099,0,0.143,0.827,Standard Zone
11082,RUM ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,1,0,,,,0,,,,,,0,0,0,0,0,0,Standard Zone
650,WARBURTON-WOODS POINT ROAD,ROAD,non-Intersection,1,0,0,0,0,0,0,0,0,1,0,,,,0,,,,,,0,0,0,0,0,0,Standard Zone
14582,KELLYS ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,1,0,0,927,0.153,0.08,0.185,0.333,0.249,0.493,0.29,0.174,0.036,0.182,0.7,Standard Zone
2456,STEIGLITZ-DURDIDWARRAH ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1022,0.167,0.073,0.162,0.432,0.167,0.452,0.425,0.096,0,0.196,0.772,Standard Zone
7246,GENISTA STREET,STREET,Intersection,1,0,2,0,0,0,0.088,0,0.778,0.133,0,0.953,0.047,0,1017,0.118,0.063,0.15,0.281,0.389,0.634,0.267,0.129,0.058,0.39,0.513,Standard Zone
9490,SHAWS ROAD,ROAD,non-Intersection,0,0,0,0,0,0,,,,,0.804,1,0,0,1032,0.18,0.127,0.199,0.342,0.152,0.49,0.415,0.102,0,0.174,0.802,Standard Zone
8444,CAPE PATERSON ROAD,ROAD,non-Intersection,1,0,0,0,0,0,0,0,0.4,0.425,0.175,1,0,0,897,0.187,0.142,0.202,0.285,0.184,0.399,0.38,0.245,0.043,0.43,0.468,Standard Zone
9516,INGLISTON ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0.305,0,0.695,1,0,0,1028,0.14,0.108,0.188,0.384,0.18,0.443,0.486,0.057,0,0.174,0.794,Standard Zone
4600,GEELONG ROAD,ROAD,Intersection,0,0,2,0,0,0,0,0,0.651,0.349,0,0.663,0.234,0.103,1054,0.128,0.07,0.252,0.273,0.277,0.588,0.324,0.088,0.079,0.424,0.48,Red Zone
12840,STODDARTS ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1017,0.225,0.089,0.242,0.294,0.15,0.426,0.426,0.178,0,0.29,0.669,Standard Zone
3504,INVERLEIGH-WINCHELSEA ROAD,ROAD,non-Intersection,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1087,0.206,0.112,0.197,0.294,0.191,0.379,0.516,0.063,0,0.091,0.849,Standard Zone
5116,PANORAMIC DRIVE,DRIVE,non-Intersection,1,0,0,0,0,0,0,0,0.713,0.287,0,0.971,0,0.029,858,0.111,0.077,0.145,0.26,0.409,0.55,0.183,0.183,0.059,0.416,0.485,Red Zone
10130,GROVE ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,1,0,0,927,0.153,0.08,0.185,0.333,0.249,0.493,0.29,0.174,0.036,0.182,0.7,Standard Zone
10862,COLAC-BALLARAT ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0.459,0,0.541,1,0,0,1001,0.185,0.102,0.195,0.348,0.169,0.505,0.361,0.103,0,0.178,0.785,Standard Zone
1874,MOONLIGHT ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,1,0,0,897,0.167,0.106,0.191,0.304,0.232,0.383,0.374,0.178,0.028,0.27,0.652,Standard Zone
17632,HARVEY DRIVE,DRIVE,non-Intersection,0,0,1,0,0,0,0,0.498,0.502,0,0,0.982,0.018,0,977,0.172,0.086,0.168,0.304,0.27,0.529,0.361,0.131,0.052,0.362,0.539,Standard Zone
1392,BACCHUS MARSH ROAD,ROAD,Intersection,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1032,0.216,0.142,0.313,0.201,0.129,0.402,0.519,0.126,0.012,0.225,0.721,Red Zone
18014,GLENELG HIGHWAY,HIGHWAY,Intersection,0,0,0,0,0,0,,0,0.531,0,0.301,1,0,0,1020,0.252,0.118,0.232,0.239,0.159,0.347,0.597,0.073,0.021,0.148,0.775,Red Zone
6510,RHYLL-NEWHAVEN ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0.501,0,0.499,1,0,0,969,0.103,0.049,0.127,0.366,0.355,0.613,0.261,0.148,0.018,0.365,0.586,Standard Zone
10776,CASEY ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,1,0,0,897,0.167,0.106,0.191,0.304,0.232,0.383,0.374,0.178,0.028,0.27,0.652,Standard Zone
19152,MOUNT WALLACE-BALLARK ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,0.975,0,,1015,0.212,0.109,0.246,0.339,0.094,0.464,0.464,0.052,0,0.148,0.826,Standard Zone
19524,OLD SALE ROAD,ROAD,Intersection,0,0,0,0,0,0,0,,,,,1,0,0,1000,0.092,0.172,0.178,0.319,0.239,0.348,0.522,0.065,0,0.173,0.827,Red Zone
9542,NAVIGATORS ROAD,ROAD,Intersection,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1036,0.191,0.112,0.143,0.387,0.167,0.521,0.493,0.056,0,0.075,0.888,Standard Zone
17794,HARDY DRIVE,DRIVE,non-Intersection,0,0,0,0,0,0,0,0.053,0.766,0,0.181,0.981,0.01,0.01,1026,0.276,0.092,0.294,0.201,0.137,0.374,0.514,0.109,0.019,0.252,0.686,Standard Zone
15636,BASS HIGHWAY,HIGHWAY,non-Intersection,0,0,0,0,0,0,0.362,0,0.053,0.069,0.517,0.952,0.027,0,986,0.157,0.07,0.245,0.295,0.233,0.558,0.368,0.126,0.035,0.375,0.569,Standard Zone
12532,CHURCH STREET,STREET,non-Intersection,0,0,0,0,0,0,0,0,1,0,0,0.967,0.033,0,951,0.262,0.114,0.311,0.193,0.12,0.38,0.488,0.175,0.014,0.349,0.592,Standard Zone
16252,ATTWOODS ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,0.963,0,,989,0.231,0.081,0.175,0.325,0.188,0.424,0.424,0.091,0,0.156,0.805,Standard Zone
14414,MORWELL-THORPDALE ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,1,0,0,992,0.175,0.088,0.198,0.341,0.198,0.513,0.436,0.128,0,0.171,0.8,Standard Zone
9040,BLAKEVILLE ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0.604,0.396,1,0,0,1042,0.145,0.131,0.209,0.348,0.167,0.457,0.424,0.054,0,0.122,0.852,Standard Zone
3990,INGLEBY ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,0.978,0,,1044,0.206,0.108,0.214,0.289,0.183,0.519,0.414,0.115,0,0.174,0.826,Standard Zone
