RecordID,Shift_Manager_Code,Date,Year,Month,Hour,Session_colour,Weather_Outcast,Temperature_Celsius,Feeling_Temperature_Celsius,Humidity_Percent,Wind_Speed_kph,Season,Public_Holiday,Week_Day,Business_Day
4400,SM-12,7/7/2011,2011,Jul,6,purple,Mist and Cloudy,22.1,22,89,9,Summer,No,Thursday,yes
6860,SM-03,18/10/2011,2011,Oct,10,red,Mist and Cloudy,18.3,19,68,0,Autumn,No,Tuesday,yes
4981,SM-01,31/7/2011,2011,Jul,11,purple,Clear,32.4,33,28,11,Summer,No,Sunday,No
5610,SM-12,26/8/2011,2011,Aug,16,black,Clear,28.7,33,62,7,Summer,No,Friday,yes
2217,SM-09,7/4/2011,2011,Apr,6,white,Clear,7,4,81,17,Spring,No,Thursday,yes
3191,SM-10,17/5/2011,2011,May,21,purple,Clear,17.4,18,88,17,Spring,No,Tuesday,yes
2310,SM-02,11/4/2011,2011,Apr,4,yellow,Clear,13.6,14,94,13,Spring,No,Monday,yes
1495,SM-06,7/3/2011,2011,Mar,16,grey,Clear,8,4,31,24,Winter,No,Monday,yes
7449,SM-11,12/11/2011,2011,Nov,0,yellow,Clear,3.3,0,60,9,Autumn,No,Saturday,No
1278,SM-02,26/2/2011,2011,Feb,10,white,Mist and Cloudy,6.1,4,49,9,Winter,No,Saturday,No
1069,SM-10,17/2/2011,2011,Feb,7,blue,Clear,7,6,57,7,Winter,No,Thursday,yes
2181,SM-05,5/4/2011,2011,Apr,18,purple,Clear,9.9,10,40,33,Spring,No,Tuesday,yes
6111,SM-03,17/9/2011,2011,Sep,5,red,Clear,13.6,14,72,11,Summer,No,Saturday,No
8103,SM-14,9/12/2011,2011,Dec,7,green,Clear,2.3,1,75,6,Autumn,No,Friday,yes
5559,SM-03,24/8/2011,2011,Aug,13,white,Clear,27.7,29,48,28,Summer,No,Wednesday,yes
6662,SM-11,10/10/2011,2011,Oct,4,grey,Clear,13.6,14,94,0,Autumn,Yes,Monday,No
2735,SM-01,28/4/2011,2011,Apr,21,red,Clear,18.3,19,46,9,Spring,No,Thursday,yes
6528,SM-03,4/10/2011,2011,Oct,14,green,Clear,19.3,20,53,17,Autumn,No,Tuesday,yes
4384,SM-10,6/7/2011,2011,Jul,14,red,Clear,27.7,32,66,19,Summer,No,Wednesday,yes
8610,SM-04,30/12/2011,2011,Dec,13,black,Mist and Cloudy,8.9,7,53,9,Winter,No,Friday,yes
1976,SM-02,28/3/2011,2011,Mar,5,yellow,Clear,0.5,-4,43,13,Spring,No,Monday,yes
4509,SM-04,11/7/2011,2011,Jul,19,black,Clear,31.5,39,59,22,Summer,No,Monday,yes
4156,SM-06,27/6/2011,2011,Jun,2,red,Light Rain or Snow,21.1,23,78,9,Summer,No,Monday,yes
7656,SM-11,20/11/2011,2011,Nov,15,yellow,Mist and Cloudy,16.4,17,68,13,Autumn,No,Sunday,No
5934,SM-14,9/9/2011,2011,Sep,19,grey,Clear,23,23,89,11,Summer,No,Friday,yes
8156,SM-07,11/12/2011,2011,Dec,12,red,Clear,4.2,4,35,0,Autumn,No,Sunday,No
2532,SM-04,20/4/2011,2011,Apr,10,purple,Clear,21.1,24,69,6,Spring,No,Wednesday,yes
2070,SM-04,1/4/2011,2011,Apr,3,red,Mist and Cloudy,3.3,-1,93,17,Spring,No,Friday,yes
1336,SM-14,28/2/2011,2011,Feb,23,white,Mist and Cloudy,7,3,81,26,Winter,No,Monday,yes
7807,SM-11,26/11/2011,2011,Nov,22,grey,Mist and Cloudy,9.9,10,76,0,Autumn,No,Saturday,No
4380,SM-02,6/7/2011,2011,Jul,10,grey,Light Rain or Snow,24.9,28,79,6,Summer,No,Wednesday,yes
1376,SM-08,2/3/2011,2011,Mar,15,black,Clear,17.4,18,19,28,Winter,No,Wednesday,yes
8496,SM-01,25/12/2011,2011,Dec,17,red,Clear,8,6,61,9,Winter,Yes,Sunday,No
870,SM-08,8/2/2011,2011,Feb,17,red,Clear,2.3,-4,32,39,Winter,No,Tuesday,yes
2952,SM-12,7/5/2011,2011,May,22,grey,Clear,17.4,18,49,13,Spring,No,Saturday,No
7923,SM-03,1/12/2011,2011,Dec,19,red,Clear,8,7,46,7,Autumn,No,Thursday,yes
3772,SM-01,11/6/2011,2011,Jun,2,green,Clear,24.9,28,79,7,Spring,No,Saturday,No
3949,SM-06,18/6/2011,2011,Jun,11,purple,Clear,25.8,29,62,9,Spring,No,Saturday,No
2291,SM-10,10/4/2011,2011,Apr,8,red,Mist and Cloudy,9.9,10,94,6,Spring,No,Sunday,No
2653,SM-03,25/4/2011,2011,Apr,11,black,Clear,22.1,24,73,15,Spring,No,Monday,yes
5476,SM-09,21/8/2011,2011,Aug,2,blue,Clear,24,26,79,13,Summer,No,Sunday,No
44,SM-02,2/1/2011,2011,Jan,21,blue,Clear,4.2,-1,44,22,Winter,No,Sunday,No
539,SM-14,24/1/2011,2011,Jan,15,white,Clear,-0.5,-5,40,11,Winter,No,Monday,yes
188,SM-13,9/1/2011,2011,Jan,3,red,Clear,-3.3,-11,46,28,Winter,No,Sunday,No
118,SM-07,6/1/2011,2011,Jan,4,purple,Mist and Cloudy,-0.5,-3,64,6,Winter,No,Thursday,yes
8044,SM-04,6/12/2011,2011,Dec,20,red,Light Rain or Snow,13.6,14,100,20,Autumn,No,Tuesday,yes
3835,SM-11,13/6/2011,2011,Jun,17,purple,Clear,24.9,26,39,22,Spring,No,Monday,yes
5284,SM-09,13/8/2011,2011,Aug,2,green,Clear,24,26,57,0,Summer,No,Saturday,No
2798,SM-12,1/5/2011,2011,May,12,grey,Mist and Cloudy,14.6,15,77,7,Spring,No,Sunday,No
3713,SM-11,8/6/2011,2011,Jun,15,purple,Clear,35.2,42,40,11,Spring,No,Wednesday,yes
7991,SM-01,4/12/2011,2011,Dec,15,green,Clear,11.7,12,62,13,Autumn,No,Sunday,No
1110,SM-13,19/2/2011,2011,Feb,0,purple,Clear,14.6,15,12,33,Winter,No,Saturday,No
2928,SM-14,6/5/2011,2011,May,22,blue,Clear,13.6,14,72,15,Spring,No,Friday,yes
1139,SM-13,20/2/2011,2011,Feb,6,red,Clear,1.4,-4,47,20,Winter,No,Sunday,No
6627,SM-06,8/10/2011,2011,Oct,17,black,Clear,21.1,25,50,9,Autumn,No,Saturday,No
2399,SM-07,14/4/2011,2011,Apr,21,black,Clear,13.6,14,63,9,Spring,No,Thursday,yes
1486,SM-07,7/3/2011,2011,Mar,7,white,Clear,1.4,-5,75,28,Winter,No,Monday,yes
3137,SM-02,15/5/2011,2011,May,15,black,Clear,23,25,69,17,Spring,No,Sunday,No
1462,SM-09,6/3/2011,2011,Mar,6,,Mist and Cloudy,11.7,12,94,24,Winter,No,Sunday,No
3125,SM-10,15/5/2011,2011,May,3,purple,Mist and Cloudy,16.4,17,100,0,Spring,No,Sunday,No
5366,SM-09,16/8/2011,2011,Aug,12,black,Clear,27.7,29,48,22,Summer,No,Tuesday,yes
2009,SM-05,29/3/2011,2011,Mar,14,red,Clear,8.9,6,25,17,Spring,No,Tuesday,yes
704,SM-07,1/2/2011,2011,Feb,17,black,Mist and Cloudy,3.3,3,75,0,Winter,No,Tuesday,yes
8486,SM-06,25/12/2011,2011,Dec,7,white,Clear,2.3,0,80,7,Winter,Yes,Sunday,No
6483,SM-02,2/10/2011,2011,Oct,17,purple,Light Rain or Snow,8.9,7,87,11,Autumn,No,Sunday,No
2734,SM-02,28/4/2011,2011,Apr,20,grey,Clear,19.3,20,43,15,Spring,No,Thursday,yes
1243,SM-08,24/2/2011,2011,Feb,22,grey,Light Rain or Snow,8,5,87,19,Winter,No,Thursday,yes
3171,SM-09,17/5/2011,2011,May,1,white,Light Rain or Snow,18.3,19,88,0,Spring,No,Tuesday,yes
3814,SM-02,12/6/2011,2011,Jun,20,black,Clear,23,24,83,11,Spring,No,Sunday,No
8594,SM-03,29/12/2011,2011,Dec,21,white,Mist and Cloudy,5.2,3,61,9,Winter,No,Thursday,yes
1656,SM-08,14/3/2011,2011,Mar,14,white,Mist and Cloudy,9.9,10,34,0,Winter,No,Monday,yes
2328,SM-02,11/4/2011,2011,Apr,22,blue,Mist and Cloudy,22.1,25,50,19,Spring,No,Monday,yes
3243,SM-11,20/5/2011,2011,May,1,green,Clear,13.6,14,100,0,Spring,No,Friday,yes
2494,SM-07,18/4/2011,2011,Apr,20,grey,Clear,20.2,25,33,20,Spring,No,Monday,yes
4207,SM-07,29/6/2011,2011,Jun,5,white,Clear,22.1,22,83,13,Summer,No,Wednesday,yes
1524,SM-06,8/3/2011,2011,Mar,21,yellow,Clear,6.1,3,49,13,Winter,No,Tuesday,yes
8558,SM-08,28/12/2011,2011,Dec,9,purple,Clear,7,4,57,22,Winter,No,Wednesday,yes
3173,SM-02,17/5/2011,2011,May,3,yellow,Light Rain or Snow,17.4,18,94,17,Spring,No,Tuesday,yes
1498,SM-05,7/3/2011,2011,Mar,19,black,Clear,6.1,3,33,15,Winter,No,Monday,yes
2491,SM-03,18/4/2011,2011,Apr,17,grey,Clear,19.3,20,49,19,Spring,No,Monday,yes
946,SM-05,12/2/2011,2011,Feb,1,white,Clear,-1.4,-2,86,0,Winter,No,Saturday,No
2156,SM-12,4/4/2011,2011,Apr,17,blue,Clear,26.8,27,23,41,Spring,No,Monday,yes
8374,SM-05,20/12/2011,2011,Dec,14,green,Mist and Cloudy,12.7,13,58,7,Autumn,No,Tuesday,yes
5106,SM-02,5/8/2011,2011,Aug,16,white,Clear,29.6,33,49,17,Summer,No,Friday,yes
1305,SM-05,27/2/2011,2011,Feb,14,blue,Clear,12.7,13,47,6,Winter,No,Sunday,No
6981,SM-13,23/10/2011,2011,Oct,12,blue,Clear,15.5,16,59,17,Autumn,No,Sunday,No
5089,SM-08,4/8/2011,2011,Aug,23,yellow,Clear,23,25,74,7,Summer,No,Thursday,yes
4814,SM-02,24/7/2011,2011,Jul,12,green,Clear,34.3,41,45,11,Summer,No,Sunday,No
6525,SM-06,4/10/2011,2011,Oct,11,red,Clear,17.4,18,64,19,Autumn,No,Tuesday,yes
4901,SM-02,28/7/2011,2011,Jul,3,purple,Clear,25.8,28,54,0,Summer,No,Thursday,yes
8211,SM-03,13/12/2011,2011,Dec,19,black,Clear,7,5,49,11,Autumn,No,Tuesday,yes
604,SM-10,28/1/2011,2011,Jan,10,white,Light Rain or Snow,0.5,-2,86,7,Winter,No,Friday,yes
5531,SM-05,23/8/2011,2011,Aug,9,black,Mist and Cloudy,23,25,44,0,Summer,No,Tuesday,yes
8269,SM-13,16/12/2011,2011,Dec,5,green,Clear,14.6,15,44,26,Autumn,No,Friday,yes
4790,SM-10,23/7/2011,2011,Jul,12,green,Clear,35.2,41,37,7,Summer,No,Saturday,No
1966,SM-08,27/3/2011,2011,Mar,18,white,Clear,6.1,3,33,13,Spring,No,Sunday,No
8050,SM-01,7/12/2011,2011,Dec,2,red,Light Rain or Snow,13.6,14,100,15,Autumn,No,Wednesday,yes
4178,SM-06,28/6/2011,2011,Jun,0,white,Mist and Cloudy,23,24,78,9,Summer,No,Tuesday,yes
8127,SM-09,10/12/2011,2011,Dec,7,yellow,Clear,3.3,-1,65,13,Autumn,No,Saturday,No
3412,SM-08,27/5/2011,2011,May,2,grey,Clear,24,26,61,15,Spring,No,Friday,yes
7405,SM-10,10/11/2011,2011,Nov,4,yellow,Clear,9.9,10,94,6,Autumn,No,Thursday,yes
3497,SM-06,30/5/2011,2011,May,15,yellow,Clear,33.4,37,39,17,Spring,Yes,Monday,No
4048,SM-06,22/6/2011,2011,Jun,14,green,Mist and Cloudy,30.5,35,52,19,Summer,No,Wednesday,yes
7558,SM-10,16/11/2011,2011,Nov,13,blue,Light Rain or Snow,13.6,14,94,9,Autumn,No,Wednesday,yes
590,SM-04,27/1/2011,2011,Jan,19,grey,Clear,1.4,-1,69,6,Winter,No,Thursday,yes
744,SM-04,3/2/2011,2011,Feb,10,purple,Clear,0.5,-6,43,22,Winter,No,Thursday,yes
4532,SM-02,12/7/2011,2011,Jul,18,yellow,Clear,32.4,37,47,20,Summer,No,Tuesday,yes
5738,SM-05,1/9/2011,2011,Sep,13,red,Mist and Cloudy,25.8,28,48,6,Summer,No,Thursday,yes
3367,SM-13,25/5/2011,2011,May,5,white,Clear,18.3,19,88,6,Spring,No,Wednesday,yes
130,SM-12,6/1/2011,2011,Jan,16,white,Clear,4.2,1,38,11,Winter,No,Thursday,yes
8124,SM-04,10/12/2011,2011,Dec,4,green,Mist and Cloudy,4.2,2,65,7,Autumn,No,Saturday,No
8388,SM-05,21/12/2011,2011,Dec,4,grey,Mist and Cloudy,8.9,9,71,0,Winter,No,Wednesday,yes
4123,SM-05,25/6/2011,2011,Jun,17,black,Clear,26.8,28,42,15,Summer,No,Saturday,No
6715,SM-12,12/10/2011,2011,Oct,9,white,Mist and Cloudy,17.4,18,88,30,Autumn,No,Wednesday,yes
2393,SM-08,14/4/2011,2011,Apr,15,yellow,Clear,20.2,25,31,6,Spring,No,Thursday,yes
6444,SM-01,1/10/2011,2011,Oct,2,black,Clear,13.6,14,63,28,Autumn,No,Saturday,No
8022,SM-04,5/12/2011,2011,Dec,22,grey,Mist and Cloudy,12.7,13,88,9,Autumn,No,Monday,yes
853,SM-01,8/2/2011,2011,Feb,0,yellow,Mist and Cloudy,5.2,5,87,0,Winter,No,Tuesday,yes
6412,SM-05,29/9/2011,2011,Sep,18,red,Clear,22.1,25,41,15,Autumn,No,Thursday,yes
8305,SM-13,17/12/2011,2011,Dec,17,grey,Clear,4.2,1,48,15,Autumn,No,Saturday,No
611,SM-04,28/1/2011,2011,Jan,17,purple,Clear,3.3,0,75,9,Winter,No,Friday,yes
4599,SM-02,15/7/2011,2011,Jul,13,white,Clear,24.9,27,54,13,Summer,No,Friday,yes
3070,SM-02,12/5/2011,2011,May,20,blue,Clear,20.2,24,64,13,Spring,No,Thursday,yes
6092,SM-06,16/9/2011,2011,Sep,10,red,Mist and Cloudy,15.5,16,51,19,Summer,No,Friday,yes
5878,SM-03,7/9/2011,2011,Sep,10,blue,Light Rain or Snow,20.2,20,88,9,Summer,No,Wednesday,yes
3539,SM-11,1/6/2011,2011,Jun,9,white,Mist and Cloudy,26.8,31,74,15,Spring,No,Wednesday,yes
5719,SM-05,31/8/2011,2011,Aug,18,yellow,Clear,24.9,27,51,15,Summer,No,Wednesday,yes
3093,SM-04,13/5/2011,2011,May,19,yellow,Mist and Cloudy,16.4,17,83,13,Spring,No,Friday,yes
1743,SM-01,18/3/2011,2011,Mar,8,blue,Clear,11.7,12,67,17,Winter,No,Friday,yes
6375,SM-01,28/9/2011,2011,Sep,5,green,Mist and Cloudy,20.2,18,94,0,Autumn,No,Wednesday,yes
8529,SM-04,27/12/2011,2011,Dec,3,green,Mist and Cloudy,6.1,3,61,15,Winter,No,Tuesday,yes
1843,SM-05,22/3/2011,2011,Mar,13,blue,Clear,15.5,16,45,15,Spring,No,Tuesday,yes
1330,SM-12,28/2/2011,2011,Feb,17,yellow,Light Rain or Snow,10.8,11,100,20,Winter,No,Monday,yes
4949,SM-12,30/7/2011,2011,Jul,3,black,Clear,26.8,29,62,11,Summer,No,Saturday,No
7551,SM-03,16/11/2011,2011,Nov,6,yellow,Mist and Cloudy,13.6,14,94,6,Autumn,No,Wednesday,yes
6436,SM-02,30/9/2011,2011,Sep,18,yellow,Clear,19.3,20,49,24,Autumn,No,Friday,yes
2732,SM-14,28/4/2011,2011,Apr,18,black,Clear,22.1,25,47,24,Spring,No,Thursday,yes
6031,SM-03,13/9/2011,2011,Sep,21,purple,Clear,22.1,23,78,11,Summer,No,Tuesday,yes
181,SM-05,8/1/2011,2011,Jan,20,green,Clear,-2.4,-8,36,17,Winter,No,Saturday,No
7949,SM-06,2/12/2011,2011,Dec,21,red,Clear,8,6,49,13,Autumn,No,Friday,yes
7415,SM-02,10/11/2011,2011,Nov,14,white,Light Rain or Snow,8.9,6,87,19,Autumn,No,Thursday,yes
4148,SM-04,26/6/2011,2011,Jun,18,green,Mist and Cloudy,25.8,27,45,17,Summer,No,Sunday,No
3608,SM-11,4/6/2011,2011,Jun,6,black,Clear,17.4,18,60,0,Spring,No,Saturday,No
6224,SM-05,21/9/2011,2011,Sep,22,purple,Mist and Cloudy,21.1,20,94,0,Summer,No,Wednesday,yes
2527,SM-10,20/4/2011,2011,Apr,5,yellow,Clear,10.8,11,94,13,Spring,No,Wednesday,yes
3865,SM-07,14/6/2011,2011,Jun,23,black,Clear,18.3,19,68,15,Spring,No,Tuesday,yes
6854,SM-05,18/10/2011,2011,Oct,4,red,Mist and Cloudy,12.7,13,94,7,Autumn,No,Tuesday,yes
5593,SM-06,25/8/2011,2011,Aug,23,purple,Clear,21.1,22,83,6,Summer,No,Thursday,yes
2097,SM-04,2/4/2011,2011,Apr,6,purple,Clear,4.2,2,70,7,Spring,No,Saturday,No
2761,SM-05,29/4/2011,2011,Apr,23,white,Mist and Cloudy,12.7,13,54,6,Spring,No,Friday,yes
5439,SM-11,19/8/2011,2011,Aug,13,white,Mist and Cloudy,27.7,31,62,13,Summer,No,Friday,yes
2636,SM-14,24/4/2011,2011,Apr,18,green,Clear,22.1,24,69,11,Spring,No,Sunday,No
2953,SM-11,7/5/2011,2011,May,23,blue,Clear,15.5,16,59,7,Spring,No,Saturday,No
4096,SM-04,24/6/2011,2011,Jun,14,black,Clear,28.7,30,43,19,Summer,No,Friday,yes
5178,SM-02,8/8/2011,2011,Aug,16,red,Clear,32.4,35,39,19,Summer,No,Monday,yes
352,SM-10,16/1/2011,2011,Jan,4,green,Clear,4.2,1,56,11,Winter,No,Sunday,No
5032,SM-03,2/8/2011,2011,Aug,14,black,Clear,34.3,35,25,19,Summer,No,Tuesday,yes
2042,SM-10,30/3/2011,2011,Mar,23,white,Light Rain or Snow,3.3,-2,93,19,Spring,No,Wednesday,yes
8004,SM-14,5/12/2011,2011,Dec,4,yellow,Clear,6.1,5,87,7,Autumn,No,Monday,yes
4650,SM-11,17/7/2011,2011,Jul,16,red,Clear,29.6,32,46,20,Summer,No,Sunday,No
2309,SM-10,11/4/2011,2011,Apr,2,black,Clear,13.6,14,94,19,Spring,No,Monday,yes
7967,SM-04,3/12/2011,2011,Dec,15,white,Clear,9.9,10,46,0,Autumn,No,Saturday,No
2455,SM-07,17/4/2011,2011,Apr,5,white,Clear,8.9,7,71,11,Spring,No,Sunday,No
8021,SM-02,5/12/2011,2011,Dec,21,white,Mist and Cloudy,12.7,13,88,6,Autumn,No,Monday,yes
95,SM-03,5/1/2011,2011,Jan,4,black,Clear,3.3,-1,48,15,Winter,No,Wednesday,yes
824,SM-02,6/2/2011,2011,Feb,19,grey,Clear,5.2,3,61,9,Winter,No,Sunday,No
5015,SM-09,1/8/2011,2011,Aug,21,yellow,Clear,24.9,27,70,17,Summer,No,Monday,yes
6227,SM-12,22/9/2011,2011,Sep,1,blue,Mist and Cloudy,20.2,18,94,6,Summer,No,Thursday,yes
5307,SM-06,14/8/2011,2011,Aug,1,yellow,Light Rain or Snow,22.1,22,89,15,Summer,No,Sunday,No
6324,SM-04,26/9/2011,2011,Sep,2,blue,Mist and Cloudy,21.1,21,88,7,Autumn,No,Monday,yes
4762,SM-10,22/7/2011,2011,Jul,8,black,Mist and Cloudy,31.5,40,63,11,Summer,No,Friday,yes
3735,SM-06,9/6/2011,2011,Jun,13,white,Clear,34.3,38,37,6,Spring,No,Thursday,yes
5163,SM-02,8/8/2011,2011,Aug,1,red,Clear,24,26,83,9,Summer,No,Monday,yes
8591,SM-08,29/12/2011,2011,Dec,18,red,Clear,6.1,4,56,9,Winter,No,Thursday,yes
3470,SM-02,29/5/2011,2011,May,12,yellow,Mist and Cloudy,24.9,28,74,15,Spring,No,Sunday,No
6998,SM-03,24/10/2011,2011,Oct,5,green,Clear,9.9,10,87,0,Autumn,No,Monday,yes
4248,SM-07,30/6/2011,2011,Jun,22,blue,Clear,24.9,26,42,11,Summer,No,Thursday,yes
909,SM-08,10/2/2011,2011,Feb,10,black,Clear,-2.4,-9,42,20,Winter,No,Thursday,yes
1683,SM-08,15/3/2011,2011,Mar,18,white,Mist and Cloudy,8.9,6,62,20,Winter,No,Tuesday,yes
4165,SM-02,27/6/2011,2011,Jun,11,,Mist and Cloudy,24.9,27,58,0,Summer,No,Monday,yes
1831,SM-07,22/3/2011,2011,Mar,1,white,Clear,11.7,12,100,9,Spring,No,Tuesday,yes
7249,SM-03,3/11/2011,2011,Nov,16,red,Clear,16.4,17,48,13,Autumn,No,Thursday,yes
6780,SM-07,15/10/2011,2011,Oct,2,green,Clear,13.6,14,59,13,Autumn,No,Saturday,No
8167,SM-13,11/12/2011,2011,Dec,23,black,Clear,1.4,1,69,0,Autumn,No,Sunday,No
2869,SM-11,4/5/2011,2011,May,11,black,Clear,10.8,11,82,22,Spring,No,Wednesday,yes
6740,SM-01,13/10/2011,2011,Oct,10,black,Light Rain or Snow,18.3,19,100,9,Autumn,No,Thursday,yes
2105,SM-10,2/4/2011,2011,Apr,14,grey,Light Rain or Snow,7,4,76,22,Spring,No,Saturday,No
6763,SM-14,14/10/2011,2011,Oct,9,grey,Mist and Cloudy,18.3,19,94,15,Autumn,No,Friday,yes
7518,SM-12,14/11/2011,2011,Nov,21,red,Clear,20.2,25,53,24,Autumn,No,Monday,yes
6885,SM-06,19/10/2011,2011,Oct,12,purple,Light Rain or Snow,16.4,17,94,22,Autumn,No,Wednesday,yes
3092,SM-10,13/5/2011,2011,May,18,white,Light Rain or Snow,16.4,17,88,11,Spring,No,Friday,yes
6725,SM-13,12/10/2011,2011,Oct,19,purple,Light Rain or Snow,17.4,18,94,9,Autumn,No,Wednesday,yes
1827,SM-13,21/3/2011,2011,Mar,21,white,Clear,13.6,14,94,13,Spring,No,Monday,yes
2666,SM-05,26/4/2011,2011,Apr,0,green,Clear,21.1,24,69,19,Spring,No,Tuesday,yes
5078,SM-06,4/8/2011,2011,Aug,12,black,Mist and Cloudy,27.7,31,62,15,Summer,No,Thursday,yes
5270,SM-14,12/8/2011,2011,Aug,12,black,Clear,29.6,30,27,0,Summer,No,Friday,yes
8283,SM-04,16/12/2011,2011,Dec,19,black,Mist and Cloudy,7,4,45,15,Autumn,No,Friday,yes
8176,SM-13,12/12/2011,2011,Dec,8,white,Mist and Cloudy,-0.5,-4,80,7,Autumn,No,Monday,yes
2162,SM-08,4/4/2011,2011,Apr,23,red,Mist and Cloudy,22.1,25,47,15,Spring,No,Monday,yes
2727,SM-11,28/4/2011,2011,Apr,13,blue,Mist and Cloudy,21.1,22,83,20,Spring,No,Thursday,yes
8509,SM-08,26/12/2011,2011,Dec,7,grey,Clear,7,5,45,13,Winter,Yes,Monday,No
7849,SM-03,28/11/2011,2011,Nov,17,purple,Clear,19.3,20,56,13,Autumn,No,Monday,yes
7171,SM-01,31/10/2011,2011,Oct,10,black,Mist and Cloudy,8.9,7,57,11,Autumn,No,Monday,yes
6743,SM-12,13/10/2011,2011,Oct,13,white,Mist and Cloudy,22.1,22,83,11,Autumn,No,Thursday,yes
6127,SM-08,17/9/2011,2011,Sep,21,black,Mist and Cloudy,15.5,16,72,13,Summer,No,Saturday,No
648,SM-07,30/1/2011,2011,Jan,8,white,Mist and Cloudy,-1.4,-2,86,0,Winter,No,Sunday,No
8132,SM-04,10/12/2011,2011,Dec,12,grey,Clear,7,3,45,28,Autumn,No,Saturday,No
6136,SM-07,18/9/2011,2011,Sep,6,purple,Clear,12.7,13,77,17,Summer,No,Sunday,No
567,SM-04,25/1/2011,2011,Jan,20,purple,Clear,3.3,-1,65,13,Winter,No,Tuesday,yes
6954,SM-13,22/10/2011,2011,Oct,9,black,Clear,11.7,12,67,6,Autumn,No,Saturday,No
5337,SM-07,15/8/2011,2011,Aug,7,white,Clear,20.2,20,88,17,Summer,No,Monday,yes
3033,SM-07,11/5/2011,2011,May,7,grey,Clear,14.6,15,72,13,Spring,No,Wednesday,yes
726,SM-02,2/2/2011,2011,Feb,15,yellow,Clear,9.9,10,76,22,Winter,No,Wednesday,yes
7688,SM-13,21/11/2011,2011,Nov,23,yellow,Light Rain or Snow,10.8,11,87,11,Autumn,No,Monday,yes
4607,SM-14,15/7/2011,2011,Jul,21,white,Clear,23,25,54,7,Summer,No,Friday,yes
6104,SM-01,16/9/2011,2011,Sep,22,purple,Clear,14.6,15,67,6,Summer,No,Friday,yes
1261,SM-03,25/2/2011,2011,Feb,17,green,Clear,7,2,49,50,Winter,No,Friday,yes
6909,SM-06,20/10/2011,2011,Oct,12,yellow,Clear,14.6,15,48,35,Autumn,No,Thursday,yes
4596,SM-01,15/7/2011,2011,Jul,10,red,Mist and Cloudy,23,25,61,11,Summer,No,Friday,yes
1389,SM-06,3/3/2011,2011,Mar,4,white,Clear,-0.5,-8,31,33,Winter,No,Thursday,yes
360,SM-09,16/1/2011,2011,Jan,12,green,Clear,3.3,-2,41,19,Winter,No,Sunday,No
2235,SM-06,8/4/2011,2011,Apr,0,white,Mist and Cloudy,8.9,7,76,15,Spring,No,Friday,yes
1589,SM-01,11/3/2011,2011,Mar,17,white,Clear,8,5,49,15,Winter,No,Friday,yes
6840,SM-09,17/10/2011,2011,Oct,14,blue,Clear,19.3,20,49,13,Autumn,No,Monday,yes
7892,SM-06,30/11/2011,2011,Nov,12,purple,Mist and Cloudy,8.9,6,53,19,Autumn,No,Wednesday,yes
2945,SM-03,7/5/2011,2011,May,15,yellow,Clear,20.2,25,38,17,Spring,No,Saturday,No
1889,SM-10,24/3/2011,2011,Mar,12,red,Mist and Cloudy,6.1,2,70,22,Spring,No,Thursday,yes
